record_id,datetime,date,time,month,day_of_week,hour,is_weekend,is_rush_hour,festival_season,origin_city,destination_city,origin_region,mode,operator,season,rainfall_mm,temperature_c,humidity_pct,distance_km,passenger_count,incident_type,congestion_level,travel_time_min,delay_min,is_anomaly,origin_lat,origin_lon,dest_lat,dest_lon
1502,2024-09-10 05:00:00,2024-09-10,05:00:00,9,1,5,0,0,NoFestival,Ratnapura,Trincomalee,Southwest,Train,Sri Lanka Railways,Southwest monsoon,3.9,30.2,71.7,228.4,422.0,NoIncident,35.0,269.3,65.1,1,6.7056,80.3847,8.5874,81.2152
2587,2025-08-18 21:00:00,2025-08-18,21:00:00,8,0,21,0,0,NoFestival,Colombo,Kandy,Southwest,Private vehicle,Private,Southwest monsoon,19.6,29.7,79.5,94.3,1.0,NoIncident,70.0,229.6,112.9,1,6.9271,79.8612,7.2906,80.6337
2654,2025-05-06 13:00:00,2025-05-06,13:00:00,5,1,13,0,0,NoFestival,Colombo,Galle,Southwest,Bus,SLTB,Southwest monsoon,16.42,27.9,69.6,107.0,34.0,NoIncident,68.0,600.0,356.7,1,6.9271,79.8612,6.032,80.2168
1056,2024-11-17 03:00:00,2024-11-17,03:00:00,11,6,3,1,0,NoFestival,Kurunegala,Ratnapura,Northwest,Private vehicle,Private,Northeast monsoon,0.0,26.8,82.6,86.8,1.0,NoIncident,21.0,147.7,16.4,0,7.4863,80.3623,6.7056,80.3847
706,2024-04-27 12:00:00,2024-04-27,12:00:00,4,5,12,1,0,NoFestival,Batticaloa,Jaffna,East,Bus,Private,Inter-monsoon,0.0,29.6,71.8,283.9,70.0,NoIncident,21.0,600.0,50.6,0,7.717,81.7,9.6615,80.0255
107,2025-02-12 23:00:00,2025-02-12,23:00:00,2,2,23,0,0,NoFestival,Negombo,Galle,Southwest,Bus,SLTB,Inter-monsoon,0.0,31.2,67.3,137.4,41.0,NoIncident,47.0,412.2,124.1,1,7.2083,79.8358,6.032,80.2168
590,2024-08-26 08:00:00,2024-08-26,08:00:00,8,0,8,0,1,NoFestival,Kandy,Jaffna,Central,Private vehicle,Private,Southwest monsoon,36.93,27.2,81.0,272.0,1.0,NoIncident,84.0,600.0,77.9,1,7.2906,80.6337,9.6615,80.0255
2469,2024-05-18 03:00:00,2024-05-18,03:00:00,5,5,3,1,0,Vesak season,Kurunegala,Colombo,Northwest,Bus,SLTB,Southwest monsoon,6.52,29.0,70.2,83.2,26.0,NoIncident,39.0,195.9,52.1,0,7.4863,80.3623,6.9271,79.8612
2414,2025-09-27 21:00:00,2025-09-27,21:00:00,9,5,21,1,0,NoFestival,Anuradhapura,Trincomalee,NorthCentral,Private vehicle,Private,Southwest monsoon,13.31,29.2,75.0,94.4,3.0,NoIncident,36.0,139.5,33.0,0,8.3114,80.4037,8.5874,81.2152
1601,2024-05-14 00:00:00,2024-05-14,00:00:00,5,1,0,0,0,Vesak season,Kurunegala,Batticaloa,Northwest,Bus,Private,Southwest monsoon,0.0,30.4,72.6,149.7,37.0,NoIncident,46.0,537.9,163.6,1,7.4863,80.3623,7.717,81.7
